Method	GPS	TP	FP	FN	TN	PREC	REC	F1
ALW	20	1.9	0.08	48.1	949.92	0.959596	0.038	0.0731050405174038
ALW	20	3.12	0.14	46.88	949.86	0.9570552	0.0624	0.11716109639737
ALM	20	0	0	50	950	0	0	0
ALM	20	0	0.02	50	949.98	0	0	0
ALM	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
ALM	20	0.06	0.04	49.94	949.96	0.6	0.0012	0.00239520958083832
ALM	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
ALM	20	0.18	0.02	49.82	949.98	0.9	0.0036	0.00717131474103586
ALM	20	0.26	0.02	49.74	949.98	0.9285714	0.0052	0.0103420843259924
ALM	20	0.52	0.04	49.48	949.96	0.9285714	0.0104	0.0205696202461545
ALM	20	0.14	0	49.86	950	1	0.0028	0.00558436378141205
ALM	20	0.38	0.06	49.62	949.94	0.8636364	0.0076	0.0150674068255183
ALM	20	0.96	0.06	49.04	949.94	0.9411765	0.0192	0.0376323010819194
ALM	20	1.24	0.1	48.76	949.9	0.9253731	0.0248	0.0483054148344128
ALM	20	0.5	0.02	49.5	949.98	0.9615385	0.01	0.0197941409424331
ALM	20	0.96	0.06	49.04	949.94	0.9411765	0.0192	0.0376323010819194
ALM	20	1.44	0.08	48.56	949.92	0.9473684	0.0288	0.0559006210813626
ALM	20	2.08	0.12	47.92	949.88	0.9454545	0.0416	0.0796934864285609
ALM	20	0.98	0.02	49.02	949.98	0.98	0.0196	0.0384313725490196
ALM	20	1.34	0.08	48.66	949.92	0.943662	0.0268	0.0521197977870334
ALM	20	1.94	0.08	48.06	949.92	0.960396	0.0388	0.0745866973046329
ALM	20	3.14	0.14	46.86	949.86	0.9573171	0.0628	0.117867868071224
GSA	50	0	0.02	50	949.98	0	0	0
GSA	50	0	0	50	950	0	0	0
GSA	50	0	0	50	950	0	0	0
GSA	50	0.02	0.02	49.98	949.98	0.5	0.0004	0.000799360511590727
GSA	50	0	0.02	50	949.98	0	0	0
GSA	50	0	0	50	950	0	0	0
GSA	50	0.22	0.04	49.78	949.96	0.8461538	0.0044	0.00875447671858029
GSA	50	2.06	0.06	47.94	949.94	0.9716981	0.0412	0.0790483499179236
GSA	50	0	0.02	50	949.98	0	0	0
GSA	50	0.14	0.04	49.86	949.96	0.7777778	0.0028	0.00557991231623549
GSA	50	2.38	0.18	47.62	949.82	0.9296875	0.0476	0.0905631659056317
GSA	50	8.22	0.64	41.78	949.36	0.9277652	0.1644	0.279306828087912
GSA	50	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
GSA	50	1.54	0.08	48.46	949.92	0.9506173	0.0308	0.0596667958471896
GSA	50	9.76	0.48	40.24	949.52	0.953125	0.1952	0.324037184594954
GSA	50	44.54	2.92	5.46	947.08	0.9384745	0.8908	0.914016004268359
GSA	50	0.5	0	49.5	950	1	0.01	0.0198019801980198
GSA	50	3.36	0.1	46.64	949.9	0.9710983	0.0672	0.125701459320506
GSA	50	41.32	3.56	8.68	946.44	0.9206774	0.8264	0.870994958048224
GSA	50	47.8	3.6	2.2	946.4	0.9299611	0.956	0.942800794353606
LAT	50	0.04	0.16	49.96	949.84	0.2	0.0008	0.00159362549800797
LAT	50	0.02	0.12	49.98	949.88	0.1428571	0.0004	0.000797766253819182
LAT	50	0.12	0.08	49.88	949.92	0.6	0.0024	0.0047808764940239
LAT	50	0.12	0.1	49.88	949.9	0.5454545	0.0024	0.00477897251916339
LAT	50	0.14	0.14	49.86	949.86	0.5	0.0028	0.00556881463802705
LAT	50	0.52	0.22	49.48	949.78	0.7027027	0.0104	0.0204966495849756
LAT	50	1.5	0.32	48.5	949.68	0.8241758	0.03	0.0578927054594616
LAT	50	2.84	0.38	47.16	949.62	0.8819876	0.0568	0.106726794601889
LAT	50	0.8	0.16	49.2	949.84	0.8333333	0.016	0.0313971742306583
LAT	50	3.2	0.4	46.8	949.6	0.8888889	0.064	0.119402985174872
LAT	50	5.88	0.64	44.12	949.36	0.9018405	0.1176	0.208067940796937
LAT	50	9.74	0.62	40.26	949.38	0.9401544	0.1948	0.322730282591089
LAT	50	2.54	0.24	47.46	949.76	0.9136691	0.0508	0.0962485792027966
LAT	50	6.48	0.86	43.52	949.14	0.8828338	0.1296	0.22602023061656
